gauge_id,ims_1,dist_1,ims_2,dist_2,ims_3,dist_3,ims_4,dist_4,ims_5,dist_5
17110,20,0,21,0,242,0,247,0,270,0
17117,242,202.2233849,21,271.9732506,277,2730.148982,278,3091.13353,90,3354.633013
17144,259,0,282,0,281,2793.409143,24,6104.57677,278,7264.581355
17155,24,0,278,0,212,8992.208041,54,9017.450381,281,9078.042992
17162,270,9037.816647,278,9130.979927,54,9293.135332,212,9312.396002,,
17164,24,0,259,0,278,0,282,0,281,2793.409392
17168,24,0,54,0,212,0,259,0,278,0
17123,242,202.2233,21,271.9731633,277,2730.148824,278,3091.132975,90,3354.632866
17135,20,0,21,0,242,0,247,0,270,0
12130,317,16.60376402,67,2045.284148,314,3332.684116,45,4085.959957,313,8491.831207
12140,314,0,317,16.60369612,45,502.9202791,67,2045.283875,313,6596.869956
13105,317,1512.673015,314,3982.742691,45,4431.212144,67,4733.339182,,
13125,317,5961.847336,45,6280.969072,314,6478.869714,67,9317.233197,,
13135,317,7278.530722,45,8293.214162,314,8457.641064,,,,
13146,45,5918.169442,317,5961.847256,314,6466.216035,46,7851.603023,315,8017.892857
14115,317,8235.338572,107,9733.058701,246,9782.904085,,,,
14120,107,2828.272489,246,2874.677097,46,7610.918016,315,7689.731884,317,8235.338422
15120,107,0,246,0,247,3313.731581,20,3609.597721,315,7636.602528
30145,241,3679.061922,346,3746.400597,348,5144.67678,352,5144.67678,498,6912.26405
30155,10,164.0010357,303,2175.490695,324,3085.128036,202,3204.307478,498,7501.876269
30165,353,1291.665884,354,1291.665884,62,5574.356465,298,8265.725677,269,8314.902039
30170,353,362.1607607,354,362.1607607,62,882.1735886,322,8254.647428,123,8333.354896
30175,202,0,241,0,324,0,346,0,348,0
31110,62,0,322,290.627075,123,1979.620331,99,5259.053738,319,5292.650466
31115,319,104.8714511,99,108.4361243,325,3189.830503,205,3460.267573,298,4591.976976
31155,303,2128.602101,10,2840.69863,6,3074.735552,301,3212.719355,227,5712.953903
31160,6,1966.645898,301,2095.68327,227,4155.391364,327,4362.123188,330,6919.376162
31163,227,0,327,0,6,1093.204165,301,1352.030199,330,7562.957424
31165,2,0,300,0,327,3165.610403,227,3353.924646,6,4826.016654
31198,2,0,6,0,8,0,62,0,115,0
34160,10,0,303,0,2,1222.596564,300,1295.177316,355,3558.543582
18115,22,0,249,0,281,228.735573,248,714.247178,23,760.4969729
18125,282,2514.363307,259,2533.480598,288,5420.14882,75,6562.429676,287,9296.834037
18131,22,0,75,0,249,0,281,0,288,0
18150,22,0,75,0,121,0,249,0,281,0
18178,121,3654.56692,283,3799.786731,259,4494.263418,282,4543.12841,284,5654.849494
18180,22,0,75,0,121,0,249,0,281,0
19180,25,0,77,0,82,0,236,0,252,0
23137,28,0,188,0,240,0,292,0,293,0
19130,285,565.875641,236,1993.114151,188,3853.890895,82,6419.907909,252,6452.928275
19160,25,0,77,0,286,0,287,0,75,1055.309632
19178,25,0,77,0,286,0,287,0,283,592.1039275
2105,269,0,298,0,239,1850.034394,73,1932.326099,320,2657.396942
21105,351,1094.358933,59,9040.053457,,,,,,
21120,351,0,188,4882.843135,350,8512.784125,236,8625.585865,59,9653.479318
21130,351,0,245,1969.411041,79,2870.043195,188,4882.843315,236,6181.897861
23134,293,2585.608203,294,3515.55777,411,4017.335673,412,4017.335673,112,4090.34505
23150,28,0,98,0,112,0,188,0,240,0
23160,59,0,351,565.3343038,293,678.5572233,411,827.943696,412,827.943696
25191,271,4533.975974,335,5085.309275,251,8078.24252,98,8192.398539,381,8765.358449
30118,498,4321.617109,499,4321.617109,348,7115.053684,352,7115.053684,241,9577.756289
30120,498,747.5780401,499,747.5780401,348,2243.667986,352,2243.667986,241,2353.436674
30122,348,667.6696699,352,667.6696699,498,747.5780401,499,747.5780401,241,2353.436674
30125,498,1864.420657,499,1864.420657,348,5104.243388,352,5104.243388,202,7219.154185
30128,498,818.6683588,499,818.6683588,348,4069.89082,352,4069.89082,202,5559.512066
30131,498,2200.453622,499,2200.453622,348,4627.718869,352,4627.718869,241,6593.453511
30136,241,0,348,0,352,0,498,0,499,0
23105,98,417.6185432,251,470.1099753,381,2103.891098,480,2513.459126,271,3811.890913
23103,98,6285.948459,251,6414.842166,,,,,,
59185,295,6890.235392,,,,,,,,
38175,257,0,380,0,443,0,224,1370.656154,328,1370.656154
4110,345,3976.545099,343,4339.6211,239,4632.367459,73,4714.387472,269,6458.511201
48125,289,1820.119513,210,1879.382481,248,3075.984035,23,3111.11063,249,3371.193151
48130,286,678.7885626,77,700.410856,210,2691.205938,289,3333.822052,249,8156.920663
48185,29,3709.520769,240,3791.644906,,,,,,
48192,32,1650.342331,240,2270.329449,29,2375.749932,,,,
5110,345,0,269,101.772168,298,167.1722943,343,369.1576039,325,6447.268993
55106,265,0,379,0,296,459.8827449,335,1121.781682,271,2437.214229
55140,265,0,271,0,335,0,379,0,296,445.9016012
56140,296,0,379,354.0321088,265,396.171705,,,,
56150,296,0,379,354.0320453,265,396.1716185,33,7692.614538,,
56164,296,0,379,354.0320453,265,396.1716185,33,7692.614538,,
57190,35,1297.750071,207,1359.942421,297,1483.3373,,,,
58150,232,2410.425605,329,2422.504474,309,7338.962644,36,7391.848862,,
58175,232,0,329,0,,,,,,
59195,295,5110.285457,,,,,,,,
60105,329,3061.243004,232,3085.55984,,,,,,
60110,329,3061.243105,232,3085.559939,,,,,,
60170,316,5756.92525,64,5860.021295,,,,,,
60190,316,4168.419846,64,4365.416921,,,,,,
7105,99,0,205,0,319,0,325,0,269,88.90236418
8130,67,0,317,179.5639782,323,9794.015792,186,9930.128874,,
8140,186,109.3896102,323,207.0135499,67,6083.933745,317,9056.011656,,
8146,16,0,67,0,186,0,306,0,317,0
8155,319,1463.031981,99,1562.247399,186,3039.649193,323,3151.727403,13,4563.772
48188,32,3993.560629,240,7182.913784,29,7204.102785,,,,
